 2) + 17.921 us   |    } /* run_rebalance_domains */
 2)               |                                          ipv4_confirm [nf_conntrack_ipv4]() {
 2)   0.035 us    |                                            nf_ct_deliver_cached_events [nf_conntrack]();
 2)   0.364 us    |                                          }
 2)   4.999 us    |                                        }
 2)   5.201 us    |                                      }
 2)               |                                      ip_local_deliver_finish() {
 2)   0.282 us    |                                        raw_local_deliver();
 2)               |                                        udp_rcv() {
 2)               |                                          __udp4_lib_rcv() {
 2)               |                                            __udp4_lib_mcast_deliver() {
 2)   0.100 us    |                                              _raw_spin_lock();
 2)   0.020 us    |                                              ip_mc_sf_allow();
 2)   0.020 us    |                                              ip_mc_sf_allow();
 2)               |                                              flush_stack() {
 2)               |                                                skb_clone() {
 2)   0.033 us    |                                                  kmem_cache_alloc();
 2)               |                                                  __skb_clone() {
 2)   0.046 us    |                                                    __copy_skb_header();
 2)   0.287 us    |                                                  }
 2)   0.923 us    |                                                }
 2)               |                                                udp_queue_rcv_skb() {
 2)               |                                                  ipv4_pktinfo_prepare() {
 2)   0.055 us    |                                                    dst_release();
 2)   0.345 us    |                                                  }
 2)   0.029 us    |                                                  _raw_spin_lock();
 2)               |                                                  __udp_queue_rcv_skb() {
 2)               |                                                    sock_queue_rcv_skb() {
 2)               |                                                      sk_filter() {
 2)   0.099 us    |                                                        security_sock_rcv_skb();
 2)   0.398 us    |                                                      }
 2)   0.028 us    |                                                      _raw_spin_lock_irqsave();
 2)   0.024 us    |                                                      _raw_spin_unlock_irqrestore();
 2)               |                                                      sock_def_readable() {
 2)               |                                                        __wake_up_sync_key() {
 2)   0.027 us    |                                                          _raw_spin_lock_irqsave();
 2)               |                                                          __wake_up_common() {
 2)               |                                                            ep_poll_callback() {
 2)   0.171 us    |                                                              _raw_spin_lock_irqsave();
 2)               |                                                              __wake_up_locked() {
 2)               |                                                                __wake_up_common() {
 2)               |                                                                  default_wake_function() {
 2)               |                                                                    try_to_wake_up() {
 2)   0.181 us    |                                                                      _raw_spin_lock_irqsave();
 2)   0.158 us    |                                                                      task_waking_fair();
 2)               |                                                                      select_task_rq_fair() {
 2)   0.031 us    |                                                                        source_load();
 2)   0.032 us    |                                                                        target_load();
 2)   0.184 us    |                                                                        effective_load.isra.43();
 2)   0.551 us    |                                                                        effective_load.isra.43();
 2)               |                                                                        select_idle_sibling() {
 2)   0.031 us    |                                                                          idle_cpu();
 2)   0.237 us    |                                                                        }
 2)   2.205 us    |                                                                      }
 2)   0.027 us    |                                                                      _raw_spin_lock();
 2)               |                                                                      ttwu_do_activate.constprop.91() {
 2)               |                                                                        activate_task() {
 2)   0.034 us    |                                                                          update_rq_clock.part.81();
 2)               |                                                                          enqueue_task_fair() {
 2)               |                                                                            enqueue_entity() {
 2)   0.029 us    |                                                                              update_curr();
 2)   0.061 us    |                                                                              __compute_runnable_contrib();
 2)   0.033 us    |                                                                              __compute_runnable_contrib();
 2)   0.084 us    |                                                                              account_entity_enqueue();
 2)   0.088 us    |                                                                              update_cfs_shares();
 2)   0.021 us    |                                                                              place_entity();
 2)   0.028 us    |                                                                              __enqueue_entity();
 2)   1.806 us    |                                                                            }
 2)               |                                                                            enqueue_entity() {
 2)   0.028 us    |                                                                              update_curr();
 2)   0.037 us    |                                                                              __compute_runnable_contrib();
 2)   0.033 us    |                                                                              __compute_runnable_contrib();
 2)   0.033 us    |                                                                              account_entity_enqueue();
 2)   0.347 us    |                                                                              update_cfs_shares();
 2)   0.027 us    |                                                                              place_entity();
 2)   0.028 us    |                                                                              __enqueue_entity();
 2)   1.980 us    |                                                                            }
 2)               |                                                                            enqueue_entity() {
 2)   0.029 us    |                                                                              update_curr();
